seqid,stabr,fscskey,fscs_seq,libid,libname,address,city,zip,cnty,c_out_ty,sq_feet,f_sq_ft,hours,f_hours,wks_open,f_wksopn,yr_sub,locale,add_orig,match_note,score,match_add,xcoord,ycoord
57,RI,RI0048,002,WGR,LOUTTIT LIBRARY,274 VICTORY HIGHWAY,WEST GREENWICH,02817,KENT,CE,6351,R_21,2070,R_21,52,R_21,2022,41,,ONE MATCH,100.0,"274 VICTORY HWY, WEST GREENWICH, RI, 02817",276629.91881035524,203063.17680872697
58,RI,RI0049,002,WWA,WEST WARWICK PUBLIC LIBRARY,1043 MAIN STREET,WEST WARWICK,02893,KENT,CE,30000,R_21,2257,R_21,50,R_21,2022,21,,ONE MATCH,100.0,"1043 MAIN ST, WEST WARWICK, RI, 02893",321595.36153928516,229076.99540671185
59,RI,RI0050,002,WES,WESTERLY PUBLIC LIBRARY,44 BROAD STREET,WESTERLY,02891,WASHINGTON,CE,50000,R_21,2720,R_21,52,R_21,2022,22,,ONE MATCH,100.0,"44 BROAD ST, WESTERLY, RI, 02891",237605.61754851285,107315.42048831128
60,RI,RI0051,002,WNS,WOONSOCKET HARRIS PUBLIC LIBRARY,303 CLINTON STREET,WOONSOCKET,02895,PROVIDENCE,CE,25899,R_21,1956,R_21,49,R_21,2022,21,,ONE MATCH,100.0,"303 CLINTON ST, WOONSOCKET, RI, 02895",325831.4447939008,336007.3491975233
61,RI,RI0053,002,FPT,FOX POINT BRANCH,90 IVES STREET,PROVIDENCE,02906,PROVIDENCE,BR,3812,R_21,1466,R_21,51,R_21,2022,12,,ONE MATCH,100.0,"90 IVES ST, PROVIDENCE, RI, 02906",357429.82984422176,268690.9415312825
62,RI,RI0053,003,OLN,OLNEYVILLE BRANCH,1 OLNEYVILLE SQUARE,PROVIDENCE,02909,PROVIDENCE,BR,3600,R_21,1466,R_21,51,R_21,2022,12,,ONE MATCH,100.0,"1 OLNEYVILLE SQ, PROVIDENCE, RI, 02909",343634.9876434776,267184.4370797498
63,RI,RI0053,004,SPR,SOUTH PROVIDENCE BRANCH,441 PRAIRIE AVENUE,PROVIDENCE,02905,PROVIDENCE,BR,7249,R_21,1406,R_21,49,R_21,2022,12,,ONE MATCH,100.0,"441 PRAIRIE AV, PROVIDENCE, RI, 02905",351612.3085578724,261865.99707489175
64,RI,RI0053,005,WAN,WANSKUCK BRANCH,233 VEAZIE STREET,PROVIDENCE,02904,PROVIDENCE,BR,8200,R_21,1466,R_21,51,R_21,2022,12,,ONE MATCH,100.0,"233 VEAZIE ST, PROVIDENCE, RI, 02904",345950.1909661667,279907.7378088166
65,RI,RI0053,006,WPK,WASHINGTON PARK BRANCH,1316 BROAD STREET,PROVIDENCE,02905,PROVIDENCE,BR,2800,R_21,1466,R_21,51,R_21,2022,12,,ONE MATCH,100.0,"1316 BROAD ST, PROVIDENCE, RI, 02905",353853.4785820745,257867.27091289122
66,RI,RI0053,007,SMH,SMITH HILL BRANCH,31 CANDACE STREET,PROVIDENCE,02908,PROVIDENCE,BR,8900,R_21,1466,R_21,51,R_21,2022,12,,ONE MATCH,100.0,"31 CANDACE ST, PROVIDENCE, RI, 02908",349283.18457960454,274029.83022564603
67,RI,RI0053,008,MTP,MOUNT PLEASANT BRANCH,315 ACADEMY AVENUE,PROVIDENCE,02908,PROVIDENCE,BR,9373,R_21,1691,R_21,51,R_21,2022,12,,ONE MATCH,100.0,"315 ACADEMY AV, PROVIDENCE, RI, 02908",343324.7910179964,273314.36008688004
68,RI,RI0053,009,KMA,KNIGHT MEMORIAL LIBRARY,275 ELMWOOD AVENUE,PROVIDENCE,02907,PROVIDENCE,BR,20086,R_21,1584,R_21,48,R_21,2022,12,,ONE MATCH,100.0,"275 ELMWOOD AV, PROVIDENCE, RI, 02907",348260.32970846427,262979.19343133946
69,RI,RI0053,010,ROC,ROCHAMBEAU BRANCH,708 HOPE STREET,PROVIDENCE,02906,PROVIDENCE,BR,18227,R_21,1691,R_21,51,R_21,2022,12,,ONE MATCH,100.0,"708 HOPE ST, PROVIDENCE, RI, 02906",356231.5786787875,277999.89808074845
70,RI,RI8001,001,DPL,DAVISVILLE FREE LIBRARY,481 DAVISVILLE ROAD,NORTH KINGSTOWN,02852,WASHINGTON,CE,2500,R_21,1123,R_21,52,R_21,2022,21,,ONE MATCH,100.0,"481 DAVISVILLE RD, NORTH KINGSTOWN, RI, 02852",334262.8329040834,194342.72291435197
